date,day_of_week,is_weekend,is_holiday,holiday_name,temperature,rainfall,event_impact_level,area_density_score,sales_1_day_ago,sales_7_days_ago,revenue,orders
2024-01-01,1,0,1,Tết Dương lịch,23.49,0.00,1,72,600000.00,600000.00,568000.00,22
2024-01-02,2,0,0,,22.03,3.54,1,65,568000.00,600000.00,543000.00,21
2024-01-03,3,0,0,,24.03,5.09,1,64,543000.00,600000.00,512000.00,20
2024-01-04,4,0,0,,25.42,11.66,1,62,512000.00,600000.00,381000.00,15
2024-01-05,5,0,0,,23.71,4.19,1,66,381000.00,600000.00,574000.00,22
2024-01-06,6,1,0,,21.30,8.24,1,67,574000.00,600000.00,612000.00,24
2024-01-07,7,1,0,,22.18,3.56,1,61,612000.00,600000.00,646000.00,25
2024-01-08,1,0,0,,19.74,0.00,1,61,646000.00,568000.00,413000.00,16
2024-01-09,2,0,0,,22.94,0.00,1,67,413000.00,543000.00,499000.00,19
2024-01-10,3,0,0,,24.07,0.00,1,64,499000.00,512000.00,603000.00,24
2024-01-11,4,0,0,,19.54,0.00,1,69,603000.00,381000.00,465000.00,18
2024-01-12,5,0,0,,22.69,5.82,1,67,465000.00,574000.00,484000.00,19
2024-01-13,6,1,0,,19.77,6.50,1,60,484000.00,612000.00,644000.00,25
2024-01-14,7,1,0,,23.90,0.00,1,66,644000.00,646000.00,641000.00,25
2024-01-15,1,0,0,,22.16,9.40,1,67,641000.00,413000.00,507000.00,20
2024-01-16,2,0,0,,24.97,8.88,1,66,507000.00,499000.00,441000.00,17
2024-01-17,3,0,0,,24.07,2.54,1,62,441000.00,603000.00,510000.00,20
2024-01-18,4,0,0,,22.67,3.36,1,70,510000.00,465000.00,517000.00,20
2024-01-19,5,0,0,,23.21,4.74,1,61,517000.00,484000.00,605000.00,24
2024-01-20,6,1,0,,19.57,7.96,1,70,605000.00,644000.00,598000.00,23
2024-01-21,7,1,0,,19.70,3.28,1,60,598000.00,641000.00,536000.00,21
2024-01-22,1,0,0,,21.72,0.00,1,68,536000.00,507000.00,399000.00,15
2024-01-23,2,0,0,,20.76,0.00,1,64,399000.00,441000.00,447000.00,17
2024-01-24,3,0,0,,20.31,8.07,1,63,447000.00,510000.00,510000.00,20
2024-01-25,4,0,0,,19.58,4.21,1,60,510000.00,517000.00,420000.00,16
2024-01-26,5,0,0,,22.37,5.52,1,64,420000.00,605000.00,630000.00,25
2024-01-27,6,1,0,,24.63,9.28,1,65,630000.00,598000.00,717000.00,28
2024-01-28,7,1,0,,25.31,0.00,1,70,717000.00,536000.00,571000.00,22
2024-01-29,1,0,0,,23.52,6.34,1,70,571000.00,399000.00,485000.00,19
2024-01-30,2,0,0,,23.36,7.94,1,66,485000.00,447000.00,498000.00,19
2024-01-31,3,0,0,,23.57,1.90,1,68,498000.00,510000.00,488000.00,19
2024-02-01,4,0,0,,21.25,9.07,1,69,488000.00,420000.00,583000.00,23
2024-02-02,5,0,0,,23.23,3.67,1,70,583000.00,630000.00,634000.00,25
